iter	Passed	Remaining
193	1824	7581
194	1833	7571
195	1842	7559
196	1851	7547
197	1860	7534
198	1868	7521
199	1877	7509
200	1886	7499
201	1894	7486
202	1904	7477
203	1913	7465
204	1922	7455
205	1931	7443
206	1941	7437
207	1950	7425
208	1959	7416
209	1968	7404
210	1977	7395
211	1986	7385
212	1996	7375
213	2007	7372
214	2018	7368
215	2027	7359
216	2036	7349
217	2045	7338
218	2055	7330
219	2064	7318
220	2073	7309
221	2082	7299
222	2091	7288
223	2100	7278
224	2110	7267
225	2119	7258
226	2128	7246
227	2136	7234
228	2145	7222
229	2153	7210
230	2162	7199
231	2170	7186
232	2179	7174
233	2191	7175
234	2201	7165
235	2209	7152
236	2217	7140
237	2226	7128
238	2235	7118
239	2243	7105
240	2252	7093
241	2261	7082
242	2269	7070
243	2278	7058
244	2286	7046
245	2294	7034
246	2303	7022
247	2311	7010
248	2320	6997
249	2328	6985
250	2337	6974
251	2345	6962
252	2354	6950
253	2365	6946
254	2374	6937
255	2383	6926
256	2391	6915
257	2400	6903
258	2409	6892
259	2418	6882
260	2426	6871
261	2435	6860
262	2443	6848
263	2452	6836
264	2461	6825
265	2469	6814
266	2477	6802
267	2486	6790
268	2494	6779
269	2502	6767
270	2511	6756
271	2520	6744
272	2528	6733
273	2537	6723
274	2548	6718
275	2557	6709
276	2566	6698
277	2575	6689
278	2584	6679
279	2593	6667
280	2601	6656
281	2610	6645
282	2618	6633
283	2626	6622
284	2635	6611
285	2643	6600
286	2652	6590
287	2660	6578
288	2669	6567
289	2677	6555
290	2685	6544
291	2694	6533
292	2703	6522
293	2711	6511
294	2719	6499
295	2731	6496
296	2740	6487
297	2749	6477
298	2758	6466
299	2766	6455
300	2775	6444
301	2783	6433
302	2792	6422
303	2800	6410
304	2808	6399
305	2816	6388
306	2824	6376
307	2833	6365
308	2841	6354
309	2849	6343
310	2858	6332
311	2867	6322
312	2877	6314
313	2886	6305
314	2895	6296
315	2905	6289
316	2917	6285
317	2927	6277
318	2936	6269
319	2945	6260
320	2955	6251
321	2964	6241
322	2973	6232
323	2982	6223
324	2991	6213
325	3000	6203
326	3008	6192
327	3018	6184
328	3027	6173
329	3036	6164
330	3045	6154
331	3054	6145
332	3063	6137
333	3072	6127
334	3082	6118
335	3092	6110
336	3102	6104
337	3114	6099
338	3123	6089
339	3133	6081
340	3141	6071
341	3151	6063
342	3161	6055
343	3170	6045
344	3179	6036
345	3188	6026
346	3197	6018
347	3206	6008
348	3216	6000
349	3226	5991
350	3235	5981
351	3245	5973
352	3254	5964
353	3263	5955
354	3274	5949
355	3284	5942
356	3294	5934
357	3303	5924
358	3314	5917
359	3323	5908
360	3332	5899
361	3341	5889
362	3351	5880
363	3360	5872
364	3370	5863
365	3378	5853
366	3388	5843
367	3397	5834
368	3406	5825
369	3415	5815
370	3424	5806
371	3434	5797
372	3442	5787
373	3453	5780
374	3463	5772
375	3472	5763
376	3481	5753
377	3490	5744
378	3501	5736
379	3509	5726
380	3518	5717
381	3528	5707
382	3537	5699
383	3547	5690
384	3556	5680
385	3565	5672
386	3574	5662
387	3583	5652
388	3592	5642
389	3602	5634
390	3611	5625
391	3620	5615
392	3632	5609
393	3642	5602
394	3651	5592
395	3660	5583
396	3669	5573
397	3679	5565
398	3688	5555
399	3698	5547
400	3707	5538
401	3717	5529
402	3726	5520
403	3736	5511
404	3745	5502
405	3754	5492
406	3763	5482
407	3772	5473
408	3780	5463
409	3789	5452
410	3797	5442
411	3810	5437
412	3818	5427
413	3827	5418
414	3836	5408
415	3845	5398
416	3854	5388
417	3863	5378
418	3871	5368
419	3879	5357
420	3888	5347
421	3896	5337
422	3905	5327
423	3914	5317
424	3922	5307
425	3931	5297
426	3939	5286
427	3948	5276
428	3956	5266
429	3964	5255
430	3973	5246
431	3983	5237
432	3993	5229
433	4003	5221
434	4012	5211
435	4021	5201
436	4029	5191
437	4038	5181
438	4047	5171
439	4055	5161
440	4064	5151
441	4072	5141
442	4081	5131
443	4090	5121
444	4098	5112
445	4107	5101
446	4116	5092
447	4128	5086
448	4137	5077
449	4145	5067
450	4154	5057
451	4162	5046
452	4174	5040
453	4183	5031
454	4193	5022
455	4201	5012
456	4211	5003
457	4219	4993
458	4228	4983
459	4237	4974
460	4246	4965
461	4256	4956
462	4264	4946
463	4274	4937
464	4283	4928
465	4292	4918
466	4301	4909
467	4310	4900
468	4320	4891
469	4329	4882
470	4338	4872
471	4347	4862
472	4358	4855
473	4369	4848
474	4378	4838
475	4387	4830
476	4396	4820
477	4405	4811
478	4415	4802
479	4424	4792
480	4433	4784
481	4442	4774
482	4451	4765
483	4461	4756
484	4470	4747
485	4480	4738
486	4488	4728
487	4498	4719
488	4507	4710
489	4517	4702
490	4526	4692
491	4536	4683
492	4546	4675
493	4556	4667
494	4566	4658
495	4576	4650
496	4585	4641
497	4595	4632
498	4604	4622
499	4613	4613
500	4623	4604
501	4631	4595
502	4641	4585
503	4649	4576
504	4659	4566
505	4667	4557
506	4677	4548
507	4686	4538
508	4695	4529
509	4704	4520
510	4714	4511
511	4724	4503
512	4736	4496
513	4744	4486
514	4753	4476
515	4762	4467
516	4771	4457
517	4779	4447
518	4788	4437
519	4796	4427
520	4804	4417
521	4813	4407
522	4821	4397
523	4830	4387
524	4839	4378
525	4847	4368
526	4856	4358
527	4864	4348
528	4872	4338
529	4881	4328
530	4889	4318
531	4900	4310
532	4909	4301
533	4918	4291
534	4926	4281
535	4934	4271
536	4943	4262
537	4951	4251
538	4959	4242
539	4967	4231
540	4976	4222
541	4984	4211
542	4992	4202
543	5001	4192
544	5009	4182
545	5018	4172
546	5027	4163
547	5035	4153
548	5043	4143
549	5052	4133
550	5060	4123
551	5068	4113
552	5081	4107
553	5091	4098
554	5099	4088
555	5107	4079
556	5116	4069
557	5126	4060
558	5135	4051
559	5145	4043
560	5156	4034
561	5165	4025
562	5176	4017
563	5185	4008
564	5194	3999
565	5204	3991
566	5214	3982
567	5224	3973
568	5233	3964
569	5242	3955
570	5252	3946
571	5262	3937
572	5271	3928
573	5283	3920
574	5292	3911
575	5301	3902
576	5310	3893
577	5321	3884
578	5329	3875
579	5339	3866
580	5349	3858
581	5358	3848
582	5368	3839
583	5376	3829
584	5386	3821
585	5395	3812
586	5405	3803
587	5415	3794
588	5424	3784
589	5434	3776
590	5444	3767
591	5453	3758
592	5462	3749
593	5472	3740
594	5483	3732
595	5493	3723
596	5502	3714
597	5512	3706
598	5521	3696
599	5531	3687
600	5542	3679
601	5550	3669
602	5560	3660
603	5569	3651
604	5578	3642
605	5587	3632
606	5595	3622
607	5603	3612
608	5612	3603
609	5623	3595
610	5632	3585
611	5641	3576
612	5651	3567
613	5661	3558
614	5671	3550
615	5679	3540
616	5690	3532
617	5699	3523
618	5709	3514
619	5719	3505
620	5727	3495
621	5738	3487
622	5746	3477
623	5756	3468
624	5765	3459
625	5775	3450
626	5785	3441
627	5794	3432
628	5804	3423
629	5814	3415
630	5826	3406
631	5834	3397
632	5843	3388
633	5851	3378
634	5860	3368
635	5868	3358
636	5876	3348
637	5884	3339
638	5893	3329
639	5901	3319
640	5909	3309
641	5918	3300
642	5926	3290
643	5934	3280
644	5942	3270
645	5951	3261
646	5959	3251
647	5968	3242
648	5979	3234
649	5990	3225
650	5999	3216
651	6009	3207
652	6018	3197
653	6029	3189
654	6038	3180
655	6048	3171
656	6059	3163
657	6068	3153
658	6079	3146
659	6089	3137
660	6098	3127
661	6109	3119
662	6118	3109
663	6127	3100
664	6136	3091
665	6146	3082
666	6156	3073
667	6166	3064
668	6179	3057
669	6187	3047
670	6196	3037
671	6204	3028
672	6213	3019
673	6221	3009
674	6230	2999
675	6239	2990
676	6247	2980
677	6255	2971
678	6264	2961
679	6272	2951
680	6281	2942
681	6290	2932
682	6298	2923
683	6306	2913
684	6316	2904
685	6325	2895
686	6334	2885
687	6344	2876
688	6355	2868
689	6366	2860
690	6375	2851
691	6385	2842
692	6396	2833
693	6404	2824
694	6415	2815
695	6424	2806
696	6433	2796
697	6443	2787
698	6451	2778
699	6462	2769
700	6470	2759
701	6480	2750
702	6490	2742
703	6499	2732
704	6510	2724
705	6518	2714
706	6531	2706
707	6542	2698
708	6550	2688
709	6559	2679
710	6568	2669
711	6576	2660
712	6585	2650
713	6593	2641
714	6601	2631
715	6610	2621
716	6618	2612
717	6626	2602
718	6635	2593
719	6643	2583
720	6651	2574
721	6660	2564
722	6668	2554
723	6676	2545
724	6685	2535
725	6694	2526
726	6705	2517
727	6717	2509
728	6725	2500
729	6736	2491
730	6745	2482
731	6754	2473
732	6764	2464
733	6773	2454
734	6784	2445
735	6793	2436
736	6802	2427
737	6812	2418
738	6821	2409
739	6831	2400
740	6839	2390
741	6849	2381
742	6858	2372
743	6867	2362
744	6876	2353
745	6886	2344
746	6896	2335
747	6906	2326
748	6914	2317
749	6923	2307
750	6931	2298
751	6939	2288
752	6947	2279
753	6956	2269
754	6964	2259
755	6972	2250
756	6981	2240
757	6989	2231
758	6997	2221
759	7006	2212
760	7014	2203
761	7023	2193
762	7032	2184
763	7041	2174
764	7049	2165
765	7060	2156
766	7073	2148
767	7084	2139
768	7093	2130
769	7105	2122
770	7114	2113
771	7124	2103
772	7134	2094
773	7142	2085
774	7152	2076
775	7162	2067
776	7171	2058
777	7181	2049
778	7190	2039
779	7200	2030
780	7208	2021
781	7217	2012
782	7227	2002
783	7236	1993
784	7247	1984
785	7256	1975
786	7265	1966
787	7273	1956
788	7282	1947
789	7290	1938
790	7299	1928
791	7307	1919
792	7315	1909
793	7323	1900
794	7332	1890
795	7340	1881
796	7348	1871
797	7356	1862
798	7364	1852
799	7373	1843
800	7381	1833
801	7389	1824
802	7398	1815
803	7407	1805
804	7415	1796
805	7426	1787
806	7437	1778
807	7446	1769
808	7458	1760
809	7467	1751
810	7476	1742
811	7487	1733
812	7495	1724
813	7505	1715
814	7515	1705
815	7525	1696
816	7535	1687
817	7543	1678
818	7554	1669
819	7563	1660
820	7573	1651
821	7582	1641
822	7590	1632
823	7599	1623
824	7610	1614
825	7620	1605
826	7629	1595
827	7637	1586
828	7645	1577
829	7654	1567
830	7662	1558
831	7671	1548
832	7679	1539
833	7687	1530
834	7695	1520
835	7703	1511
836	7712	1501
837	7720	1492
838	7728	1483
839	7737	1473
840	7746	1464
841	7755	1455
842	7765	1446
843	7776	1437
844	7786	1428
845	7797	1419
846	7808	1410
847	7816	1401
848	7827	1392
849	7838	1383
850	7847	1374
851	7858	1365
852	7866	1355
853	7876	1346
854	7886	1337
855	7895	1328
856	7905	1319
857	7913	1309
858	7924	1300
859	7932	1291
860	7941	1282
861	7950	1272
862	7958	1263
863	7969	1254
864	7981	1245
865	7990	1236
866	7999	1227
867	8007	1217
868	8015	1208
869	8023	1198
870	8031	1189
871	8040	1180
872	8048	1170
873	8057	1161
874	8066	1152
875	8074	1142
876	8083	1133
877	8092	1124
878	8102	1115
879	8111	1106
880	8121	1097
881	8132	1087
882	8140	1078
883	8151	1069
884	8161	1060
885	8171	1051
886	8181	1042
887	8190	1033
888	8200	1023
889	8209	1014
890	8218	1005
891	8229	996
892	8238	987
893	8247	977
894	8257	968
895	8265	959
896	8273	950
897	8282	940
898	8290	931
899	8298	922
900	8306	912
901	8315	903
902	8323	894
903	8333	884
904	8342	875
905	8351	866
906	8359	857
907	8368	847
908	8376	838
909	8384	829
910	8393	819
911	8401	810
912	8409	801
913	8418	792
914	8427	782
915	8437	773
916	8447	764
917	8457	755
918	8468	746
919	8476	737
920	8487	728
921	8497	718
922	8507	709
923	8519	700
924	8528	691
925	8537	682
926	8547	673
927	8556	663
928	8567	654
929	8576	645
930	8585	636
931	8595	627
932	8603	617
933	8613	608
934	8622	599
935	8631	590
936	8639	580
937	8648	571
938	8656	562
939	8665	553
940	8673	543
941	8681	534
942	8692	525
943	8700	516
944	8710	506
945	8718	497
946	8727	488
947	8736	479
948	8744	469
949	8753	460
950	8761	451
951	8772	442
952	8781	433
953	8791	423
954	8801	414
955	8811	405
956	8822	396
957	8830	387
958	8840	377
959	8849	368
960	8859	359
961	8870	350
962	8880	341
963	8889	331
964	8899	322
965	8907	313
966	8918	304
967	8926	295
968	8937	285
969	8946	276
970	8954	267
971	8962	258
972	8971	248
973	8979	239
974	8987	230
975	8995	221
976	9004	211
977	9012	202
978	9021	193
979	9029	184
980	9038	175
981	9046	165
982	9057	156
983	9067	147
984	9076	138
985	9085	129
986	9096	119
987	9105	110
988	9115	101
989	9125	92
990	9134	82
991	9144	73
992	9154	64
993	9164	55
994	9175	46
995	9184	36
996	9195	27
997	9204	18
998	9214	9
999	9225	0
